dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
stanfordnlp_sst2,subgraphx,constituency,bert_correct,all,872,73,0.8348963601762478,0.5663672055823203,0.825963961801567,-0.00916916813118942,-0.022274073074711843,0.00416124813211783,0.3077422178420738,0.2828370897574344,-0.025555465332806775,-0.09056994796335302,0.03580021179803322
stanfordnlp_sst2,subgraphx,constituency,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.513671875,0.7583391853932585,-0.012421316400590314,-0.043009098207118096,0.019431278842845533,0.11214413353020516,0.10452809942890186,-0.00835335071311904,-0.029978655876403616,0.010066032596613634
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,all,872,96,0.8092112328178694,0.5989583333333334,0.8146074957044673,0.0054954075819438975,-0.017900601456082778,0.02839791207402269,0.31871698119565456,0.3369078508332333,0.019830812099580222,-0.039985715307117795,0.08168764265326024
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,confidence>0.9,672,34,0.7174073391111931,0.5927530886962936,0.7450673059192329,0.026512577303097223,-0.04463309089128583,0.09252265853933782,0.128429033267604,0.11629253089897164,-0.01572430208437769,-0.07400097291035856,0.03438950856949023
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,all (base = confidence+explanation),872,96,0.8012376503436427,0.5989583333333334,0.8013987328178694,9.048307445296144e-05,-0.018376180485657846,0.018192403918906003,0.30540562387390185,0.3013158036009695,-0.004057640469417475,-0.03578793202741973,0.026639922960651364
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,all,872,62,0.9319195539625648,0.5925328554360813,0.9199920350457985,-0.01215028260268375,-0.029157237097657055,-0.0009462122980179771,0.4864762304225616,0.4800988753805325,-0.00920442271888648,-0.08244519207519684,0.06223804257319668
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,all (base = confidence+explanation),872,62,0.9277180406212665,0.5925328554360813,0.9194544006371963,-0.008337348979234976,-0.017247556855016395,-0.0017466716800356734,0.42813152480474614,0.4136054255636171,-0.01397666412934387,-0.035319425138307665,0.007595753555868061
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,all,872,73,0.8348963601762478,0.5434618615735423,0.8255181991187615,-0.009487760766247603,-0.026935213298324646,0.006289546549359778,0.3077422178420738,0.30720189424832256,-0.0014742287286657798,-0.06091190183799321,0.05670229862116275
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.5340370435393258,0.7495610955056179,-0.020169607406849564,-0.05758917421316999,0.017894269885081138,0.11214413353020516,0.11615335841495357,0.005762867518552625,-0.02381322548375536,0.04449128332096665
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,all,872,109,0.8028544975771641,0.5192504238459965,0.782004881743961,-0.020513301447926728,-0.03950122471285164,-0.0028228375859895146,0.31849687468557897,0.3162314784763696,-0.0010787303687906475,-0.042550196631754154,0.041035109398418396
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,confidence>0.9,686,45,0.7602704108164328,0.4730802565435951,0.7006760270410816,-0.058857398265724656,-0.10391869558082767,-0.01645550973568943,0.19905907025576727,0.15887518671729567,-0.04335797614255851,-0.0869552174011807,-0.012077569387195008
