dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,confidence>0.9,756,38,0.7872745931681572,0.520268289107169,0.751209500073303,-0.03614879644810364,-0.08998752472570336,0.016995881310551852,0.20302310455331488,0.16574464543427592,-0.034525601845243656,-0.08958681347906496,0.012290536339290406
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,all (base = confidence+explanation),872,78,0.8363366272686172,0.5537040625201834,0.8325905832203061,-0.0031706099509953766,-0.017065688681408266,0.011640510697531865,0.3411447447054301,0.3383030043256211,-0.0025865638114102836,-0.03392710979531852,0.025690713153028354
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,all,872,14,0.9085081585081585,0.5478687978687978,0.9217449217449217,0.013789478370135935,-0.022701226873609297,0.07537635009570083,0.35585233523983373,0.18007010615276425,-0.1660091050994876,-0.3907263841484638,0.010606915446889296
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,all (base = confidence+explanation),872,14,0.9238261738261739,0.5478687978687978,0.9451381951381951,0.021693128610422392,-0.004819164723516412,0.07276992365084024,0.17777948598202659,0.1731760865966971,-0.006942300308843967,-0.06586240565310501,0.03634004539685549
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,all,872,73,0.8348963601762478,0.3980917928232208,0.804755944931164,-0.029775186219868653,-0.05326780295493838,-0.010418578315444746,0.3077422178420738,0.2804572993033249,-0.028422995610768102,-0.08600719205611329,0.03045190287554364
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,confidence>0.9,744,32,0.7701018258426966,0.3879257373595506,0.7043100421348314,-0.06781215064531439,-0.12805636484378108,-0.017199080343077152,0.11214413353020516,0.10082600847373394,-0.011459090223970467,-0.040561548812207755,0.015993022032907266
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,all,872,84,0.8499818709209572,0.41566201353637905,0.8156121585690114,-0.034684362799234,-0.07221917839855142,-0.002713531209976844,0.3660105967974236,0.3568933464648923,-0.011677099062384552,-0.048544713211452845,0.023493347975370758
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,confidence>0.9,772,43,0.803394264203911,0.3765432098765432,0.7308833381184803,-0.07103721789308938,-0.14327785842034776,-0.0011006535856173288,0.2251856710258695,0.2003441356349744,-0.022069147933328224,-0.06061399923651839,0.027769464337559918
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,all (base = confidence+explanation),872,84,0.8404338892917573,0.41566201353637905,0.8210508822818466,-0.019668592084969093,-0.041081429211469456,-0.003376521088031138,0.3306025458123818,0.3182031979307876,-0.01074891643704663,-0.030451632858611098,0.006246749842773415
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,all,872,24,0.9417747641509434,0.4665389150943396,0.9471305031446542,0.005444678684009624,-0.01191627857486051,0.034315601350327324,0.3205797847640138,0.3400916308213962,0.021321664281797312,-0.08835714617030421,0.1411801823246936
