dataset,method,graph,target,feature,n_valid,mean_when_correct,mean_when_error,auroc_error_oriented
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,top1_match,872,0.09193954659949623,0.11538461538461539,0.4882774656074404
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_k20,872,0.17587001714613038,0.17293990731490733,0.47210864485981313
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_top5,872,0.24553571428571427,0.2564484126984127,0.4820020443925234
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,spearman,870,0.1674380633817603,0.18728910458023018,0.4679449648711944
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,top1_match,872,0.09462616822429906,0.0625,0.5160630841121495
stanfordnlp_sst2,subgraphx,constituency,bert_correct,jaccard_k20,872,0.10988432787537318,0.10614575683068833,0.506420697104257
stanfordnlp_sst2,subgraphx,constituency,bert_correct,jaccard_top5,872,0.1767914257901742,0.148456186127419,0.558754950537487
stanfordnlp_sst2,subgraphx,constituency,bert_correct,spearman,870,0.1744635752571711,0.07586525938097259,0.61227892267235
stanfordnlp_sst2,subgraphx,constituency,bert_correct,top1_match,872,0.05381727158948686,0.0410958904109589,0.506360690589264
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,jaccard_k20,872,0.11040244809116999,0.10111121072659533,0.5216527804689013
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,jaccard_top5,872,0.17605753468473873,0.15774318274318275,0.5574258864561132
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,spearman,870,0.17563651139824607,0.07027585112007041,0.6264973452473452
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,top1_match,872,0.05415617128463476,0.038461538461538464,0.5078473164115481
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,jaccard_k20,872,0.11020531915036018,0.0707181707181707,0.5885364635364635
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,jaccard_top5,872,0.1744875494875495,0.17023809523809524,0.5734681984681984
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,spearman,870,0.1698717039367899,-0.058896082508268444,0.7563000667556743
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,top1_match,872,0.053613053613053616,0.0,0.5268065268065267
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,jaccard_k20,872,0.16791541778638652,0.13644483370510765,0.5526342860081952
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,jaccard_top5,872,0.2553737807179609,0.2370080452272233,0.5303032900714935
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,spearman,870,0.14977596730632428,0.09271905063485687,0.5480913012839242
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,top1_match,872,0.07384230287859825,0.0684931506849315,0.5026745760968334
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,jaccard_k20,872,0.16861372892071372,0.13401515812230094,0.5524383611312546
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,jaccard_top5,872,0.2565969704294577,0.2279383975812547,0.5398537587623883
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,spearman,870,0.151764026238065,0.08158823829007014,0.5736550345328971
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,top1_match,872,0.07360406091370558,0.07142857142857142,0.5010877447425671
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,jaccard_k20,872,0.16606984133152058,0.13740275927775927,0.5213983883647798
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,jaccard_top5,872,0.2561769991015274,0.17113095238095236,0.5824488993710691
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,spearman,870,0.147064666671978,0.0718011931246501,0.5823236800630418
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,top1_match,872,0.07429245283018868,0.041666666666666664,0.516312893081761
stanfordnlp_sst2,subgraphx,window,bert_correct,jaccard_k20,872,0.1681916317177305,0.13004780607520333,0.5751110120527371
stanfordnlp_sst2,subgraphx,window,bert_correct,jaccard_top5,872,0.2656346226433836,0.23081104587953902,0.5388413599190769
stanfordnlp_sst2,subgraphx,window,bert_correct,spearman,870,0.18765254955171037,0.10547626288401939,0.5926419277771093
stanfordnlp_sst2,subgraphx,window,bert_correct,top1_match,872,0.058823529411764705,0.0547945205479452,0.5020145044319098
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,jaccard_k20,872,0.16844717115741356,0.12887704400862296,0.5763852155514415
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,jaccard_top5,872,0.26550410784079126,0.23355263157894732,0.531514480296218
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,spearman,870,0.18986828226203303,0.08557148772621588,0.6175427548720668
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,top1_match,872,0.059045226130653265,0.05263157894736842,0.5032068235916424
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,jaccard_k20,872,0.16556935272747533,0.13445235320235321,0.5533367406542056
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,jaccard_top5,872,0.2640511422637591,0.19146825396825395,0.5660776869158879
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,spearman,870,0.1825202568014755,0.08665936717416022,0.6133635831381733
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,top1_match,872,0.05957943925233645,0.0,0.5297897196261683
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,jaccard_k20,872,0.168211345004027,0.133037586462244,0.5637697807190495
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,jaccard_top5,872,0.26521743449152707,0.22341813437703845,0.5428446517050423
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,spearman,870,0.18746119122598182,0.1024414061601118,0.5913872226328183
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,top1_match,872,0.06132665832290363,0.0547945205479452,0.5032660688874792
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,jaccard_k20,872,0.1680676711625741,0.1367548406009944,0.5563844216237164
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,jaccard_top5,872,0.26636779816880574,0.21438746438746434,0.5553833236452884
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,spearman,870,0.19026117406861354,0.07946079736479156,0.6269425019425019
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,top1_match,872,0.061712846347607056,0.05128205128205128,0.5052153975327779
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_k20,872,0.1652920728941207,0.16391212953712953,0.47564982476635514
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_top5,872,0.2621875463581071,0.23660714285714285,0.5010952102803738
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,spearman,870,0.18347771843810742,0.012176281915744682,0.6849019320843093
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,top1_match,872,0.06191588785046729,0.0,0.5309579439252337
